num_jobs 5000000 seed 0
rho;ServerFillingSRPT;GreedySRPT;
0.83;18.505608434656082;6.65241293269253;
0.86;19.667289452469216;7.1826204587520985;
0.9;22.072905444165375;8.149232933824575;
0.92;24.097048824956776;8.82900630332714;
0.94;27.59162485935446;9.73999523319503;
0.96;40.983265622688464;11.0905042351061;
0.98;267.73941314190836;13.531605350557298;
0.99;576.2268551596492;16.1228873832366;
num_jobs 5000000 seed 29
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.766850967483732;4.615325593882041;
0.7;15.816294556324484;5.250970021758369;
0.75;16.597652160282408;5.686839412697415;
0.8;17.687002436467253;6.249062341323857;
0.83;18.57003331192059;6.683934344510221;
0.86;19.778142355104013;7.21486969958725;
0.9;22.269679497570877;8.19947917073358;
0.92;24.366384242260782;8.90387294955519;
0.94;28.169147427270268;9.859911656022295;
0.96;46.21800606897555;11.263894541239996;
0.98;250.0814548038412;13.905597482260632;
0.99;545.112909783151;17.60365907024841;

