E[s] 3.0666666666666664, E[service] 0.8999999999999999, dist [(1, 5.0, 0.3333333333333333), (2, 2.0, 0.3333333333333333), (4, 0.5, 0.3333333333333333)], num_jobs 1000000, num_servers 4
rho,E[T_Q^MG1],ServerFilling min,ServerFilling median,ServerFilling max,FCFS min,FCFS median,FCFS max,PreemptiveFirstFit min,PreemptiveFirstFit median,PreemptiveFirstFit max,MaxWeight min,MaxWeight median,MaxWeight max,LeastServersFirst min,LeastServersFirst median,LeastServersFirst max,MostServersFirst min,MostServersFirst median,MostServersFirst max,PreemptiveBestFit min,PreemptiveBestFit median,PreemptiveBestFit max,
0.86,1.3897688356164384,1.712762843626181,1.7303891265767153,1.7398136193311273,inf,inf,inf,2.0131510529185177,2.029355050485083,2.039787699323471,3.643369088031071,3.6688708308707474,3.7066150415442745,13.172519810241228,13.638706447792192,13.907500031933582,1.343560001137122,1.3549887081369683,1.3628096746510148,1.8193090663307319,1.8324076694357558,1.8437640681709826,
0.88,1.659103881278539,1.961238877916084,1.98742691894308,1.9979425171325906,inf,inf,inf,2.266469663507732,2.290211196150518,2.3028708181455513,4.2222927441720355,4.270339656040292,4.314666473058501,23.425784081075072,28.018495920780687,30.41045171740978,1.505490291121275,1.522889206698489,1.5320885657570287,2.0277159839534122,2.0474348057598912,2.0593302528672828,
0.9,2.03617294520548,2.2977937301518296,2.341608102226224,2.3596245785899925,inf,inf,inf,2.6086302805410204,2.6506468454391183,2.6700895015041395,5.019409989696637,5.115929414447752,5.162000537059695,156.27023698455972,301.3308743359853,407.91654154536093,1.7254459036639427,1.754592885576162,1.7695320056141601,2.3090224110500532,2.342704587434342,2.3610111533577274,
0.91,2.2875523211567748,2.526135567095853,2.5746286326959726,2.605297766054272,inf,inf,inf,2.839963332582378,2.8867012409520014,2.9179247892668903,5.557919136883027,5.670767429918577,5.745216434495949,inf,inf,inf,1.8745185050383348,1.9068304338232709,1.9285737792932687,2.498074647361947,2.5351447183817655,2.5656845733160214,
0.92,2.601776541095892,2.817415197841243,2.865516697867357,2.9209415062315176,inf,inf,inf,3.1340481210098052,3.1803844963349563,3.2362350257757204,6.264185374938181,6.368401906506834,6.507669545521095,inf,inf,inf,2.064451021855255,2.0969682971790555,2.133940226524784,2.737852317083792,2.7742922217090924,2.825493357954159,
0.93,3.005779109589044,3.195272200797166,3.22891484970056,3.3365671039457174,inf,inf,inf,3.5148696802826134,3.54613823319255,3.6543185999808836,7.186016315992083,7.24703773968612,7.515929836353572,inf,inf,inf,2.3107835087419613,2.3345367411949653,2.405437233220912,3.0472526317458044,3.0728258265482333,3.16609521536537,
0.94,3.5444492009132396,3.698828141986652,3.724737840935556,3.879800341540697,inf,inf,inf,4.020772646521291,4.04681667027569,4.200491157815171,8.414733695009495,8.4770339872706,8.870008310892995,inf,inf,inf,2.639305070944888,2.6534115313016655,2.760192772164722,3.4581382755658177,3.4786252988134034,3.610019885297494,
0.95,4.29858732876712,4.388030444780832,4.447375611409243,4.6544308221257165,inf,inf,inf,4.712167586070338,4.772399509751605,4.97829003772404,10.115358920987227,10.26529210985629,10.787371861286994,inf,inf,inf,3.0879267103993193,3.1252358921428782,3.2657200419559786,4.017575947721223,4.066432070956169,4.239023084434933,
0.96,5.429794520547941,5.348151372514758,5.4630533296998705,5.9230746727635815,inf,inf,inf,5.673217475851509,5.792597934216434,6.250124753482599,12.518836863889314,12.80976899448196,13.996482973112428,inf,inf,inf,3.7126442268822846,3.787200626037991,4.0946373418090865,4.795422207343534,4.88906805198867,5.2670360117656925,
0.97,7.315139840182643,6.875027946708933,7.268470227424541,8.170876732058979,inf,inf,inf,7.202261345036794,7.60158042869844,8.500858360050398,16.354168481099663,17.381054485877243,19.724881663678293,inf,inf,inf,4.7073706861968505,4.964902142124128,5.560589899748043,6.029091473019769,6.346580108741484,7.081337078402563,
